ean/modelo,cod_interno,marca,producto,precio_online,precio_cuotas,garantia,url,timestamp
7796962987406,138952,PHILCO,AIRE ACONDICIONADO SPLIT PHILCO PHS60HA4CN FRIO CALOR 5418 FRIGORIAS,119999,"18 x $ 6.666,61 Cuotas sin interés",12,https://www.musimundo.com/climatizacion/aire-acondicionado/aire-acondicionado-split-philco-phs60ha4cn-frio-calor-5418-frigorias/p/00289046,2022-03-26 11:45:38
7796885014098,136510,BGH,AIRE ACONDICIONADO SPLIT BGH BS55CP FRIO CALOR 5590 FRIGORIAS,118749,"$ 118.749,05",12,https://www.musimundo.com/climatizacion/aire-acondicionado/aire-acondicionado-split-bgh-bs55cp-frio-calor-5590-frigorias/p/00193120,2022-03-26 11:45:38
7796962985068,135055,LG,AIRE ACONDICIONADO SPLIT INVERTER LG S4W18KL3AA FRIO CALOR 4537 FRIGORIAS,139999,"12 x $ 11.666,58 Cuotas sin interés",12,https://www.musimundo.com/climatizacion/aire-acondicionado/aire-acondicionado-split-inverter-lg-s4w18kl3aa-frio-calor-4537-frigorias/p/00151243,2022-03-26 11:45:38
8806092207912,144529,SAMSUNG,AIRE ACONDICIONADO SPLIT INVERTER SAMSUNG AR12ASHQAWK2BG FRIO - CALOR 2950 FRIGORIAS,99999,"18 x $ 5.555,50 Cuotas sin interés",12,https://www.musimundo.com/climatizacion/aire-acondicionado/aire-acondicionado-split-inverter-samsung-ar12ashqawk2bg-frio-calor-2950-frigorias/p/00456004,2022-03-26 11:45:38
7796885455747,143036,BGH,AIRE ACONDICIONADO SPLIT INVERTER BGH BSI65WCGT FRIO / CALOR 5590 FRIGORIAS,139499,"$ 139.499,10",12,https://www.musimundo.com/climatizacion/aire-acondicionado/aire-acondicionado-split-inverter-bgh-bsi65wcgt-frio-calor-5590-frigorias/p/00382025,2022-03-26 11:45:38
7797087371040,139077,SURREY,AIRE ACONDICIONADO SPLIT SURREY 553BFQ2201F FRIO CALOR 5461 FRIGORIAS,123499,"12 x $ 10.291,59 Cuotas sin interés",12,https://www.musimundo.com/climatizacion/aire-acondicionado/aire-acondicionado-split-surrey-553bfq2201f-frio-calor-5461-frigorias/p/00293020,2022-03-26 11:45:38
7796885015293,175883,BGH,AIRE ACONDICIONADO SPLIT BGH BSI53WCCR FRIO/CALOR 4558,129999,"18 x $ 7.222,17 Cuotas sin interés",12,https://www.musimundo.com/climatizacion/aire-acondicionado/aire-acondicionado-split-bgh-bsi53wccr-frio-calor-4558/p/00193122,2022-03-26 11:45:38
7797075015130,166447,LONGVIE,CALEFACTOR A GAS - SIN SALIDA LONGVIE ECA5S,20349,"12 x $ 1.695,75 Cuotas sin interés",12,https://www.musimundo.com/climatizacion/calefactores/calefactor-a-gas-sin-salida-longvie-eca5s/p/00015434,2022-03-26 11:45:38
7797075015055,170828,LONGVIE,CALEFACTOR A GAS - SIN SALIDA LONGVIE ECA5KV,29762,"12 x $ 2.480,21 Cuotas sin interés",12,https://www.musimundo.com/climatizacion/calefactores/calefactor-a-gas-sin-salida-longvie-eca5kv/p/00017197,2022-03-26 11:45:38
7797037912002,138562,ORBIS,CALEFACTOR TIRO NATURAL ORBIS 4464GO,33469,"12 x $ 2.789,08 Cuotas sin interés",12,https://www.musimundo.com/climatizacion/calefactores/calefactor-tiro-natural-orbis-4464go/p/00268012,2022-03-26 11:45:38
7798102241898,138928,COPPENS,CALEFACTOR TIRO BALANCEADO COPPENS CROMO CLASICO 3000,26079,"12 x $ 2.173,25 Cuotas sin interés",12,https://www.musimundo.com/climatizacion/calefactores/calefactor-tiro-balanceado-coppens-cromo-clasico-3000/p/00288057,2022-03-26 11:45:38
7798102241669,166383,COPPENS,CALEFACTOR A GAS - SIN SALIDA COPPENS C50IIST,22439,"12 x $ 1.869,92 Cuotas sin interés",12,https://www.musimundo.com/climatizacion/calefactores/calefactor-a-gas-sin-salida-coppens-c50iist/p/00015426,2022-03-26 11:45:38
7798102242048,136390,EMEGE,CALEFACTOR TIRO BALANCEADO EMEGE 2120,25539,"12 x $ 2.128,25 Cuotas sin interés",12,https://www.musimundo.com/climatizacion/calefactores/calefactor-tiro-balanceado-emege-2120/p/00190028,2022-03-26 11:45:38
7797075014874,135341,LONGVIE,CALEFACTOR TIRO BALANCEADO LONGVIE EBA2,24189,"12 x $ 2.015,75 Cuotas sin interés",12,https://www.musimundo.com/climatizacion/calefactores/calefactor-tiro-balanceado-longvie-eba2/p/00110008,2022-03-26 11:45:38
4710886671091,145402,ACER,NOTEBOOK ACER A314-22-R3M4 AMD ATHLON,59999,"3 x $ 19.999,67 Cuotas sin interés",0,https://www.musimundo.com/informatica/notebook/notebook-acer-a314-22-r3m4-amd-athlon/p/00508016,2022-03-26 11:45:39
7798346201825,143053,BANGHO,NOTEBOOK BANGHO MAX L4 I1 INTEL CELERON,55999,"12 x $ 4.666,58 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-bangho-max-l4-i1-intel-celeron/p/00384001,2022-03-26 11:45:39
7797678017708,144877,EXO,NOTEBOOK EXO SMART L66PLUS INTEL CELERON,54999,"12 x $ 4.583,25 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-exo-smart-l66plus-intel-celeron/p/00474010,2022-03-26 11:45:39
195348803069,139994,LENOVO,NOTEBOOK LENOVO 81VU006QAR INTEL PENTIUM,66999,"9 x $ 7.444,33 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-lenovo-81vu006qar-intel-pentium/p/00313115,2022-03-26 11:45:39
196068241223,177631,HP,NOTEBOOK HP 14-CF2531LA CELERON N4020,59999,"6 x $ 9.999,83 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-hp-14-cf2531la-celeron-n4020/p/00454003,2022-03-26 11:45:39
7798346201900,145385,BANGHO,NOTEBOOK BANGHO MAX L4 i1 INTEL CELERON,52999,"12 x $ 4.416,58 Cuotas sin interés",0,https://www.musimundo.com/informatica/notebook/notebook-bangho-max-l4-i1-intel-celeron/p/00506032,2022-03-26 11:45:39
195697341540,144275,ND,NOTEBOOK HP 14-CF2084LA INTEL CELERON,59999,"6 x $ 9.999,83 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-hp-14-cf2084la-intel-celeron/p/00442005,2022-03-26 11:45:39
7798192367744,177228,NOBLEX,NOTEBOOK NOBLEX N14WCE128 CELERON,52999,"$ 52.999,00",12,https://www.musimundo.com/informatica/notebook/notebook-noblex-n14wce128-celeron/p/00431009,2022-03-26 11:45:39
701575382415,141405,VENTURER,NOTEBOOK VENTURER VCN6Q14 INTEL CELERON,37999,"$ 37.999,05",12,https://www.musimundo.com/sper-ofertas/notebook-venturer-vcn6q14-intel-celeron/p/00320503,2022-03-26 11:45:39
195891646830,143723,LENOVO,NOTEBOOK LENOVO 81UV00B6AR AMD,54999,"3 x $ 18.333,00 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-lenovo-81uv00b6ar-amd/p/00420002,2022-03-26 11:45:39
4710886428923,143588,ACER,NOTEBOOK ACER A314-22-A34U AMD,59999,"6 x $ 9.999,83 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-acer-a314-22-a34u-amd/p/00415004,2022-03-26 11:45:39
195891963890,177281,LENOVO,NOTEBOOK LENOVO D330-10IGL CELERON,34999,"6 x $ 5.833,17 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-lenovo-d330-10igl-celeron/p/00418001,2022-03-26 11:45:39
7797678016909,176999,EXO,NOTEBOOK EXO M48 PLUS CELERON,51299,"$ 51.299,10",12,https://www.musimundo.com/informatica/notebook/notebook-exo-m48-plus-celeron/p/00375002,2022-03-26 11:45:39
4710886504078,142825,ACER,NOTEBOOK ACER SP111-33-C24B INTEL CELERON,54999,"6 x $ 9.166,50 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-acer-sp111-33-c24b-intel-celeron/p/00367016,2022-03-26 11:45:39
195122770402,177015,HP,NOTEBOOK HP 14-DK1016LA AMD ATHLON,59999,"6 x $ 9.999,83 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-hp-14-dk1016la-amd-athlon/p/00353011,2022-03-26 11:45:40
